GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mail-tracker,com.skyeng.mailtracker.conf,InitDatabase,0,37,0,0,0,11,0,4,0,4
mail-tracker,com.skyeng.mailtracker.service,PostOfficeService,6,16,0,2,1,3,1,3,1,2
mail-tracker,com.skyeng.mailtracker.service,EventTypeService,0,21,0,2,0,4,0,4,0,3
mail-tracker,com.skyeng.mailtracker.service,EventService,0,79,0,4,0,18,0,6,0,4
mail-tracker,com.skyeng.mailtracker.service,PostalItemTypeService,0,16,0,2,0,3,0,3,0,2
mail-tracker,com.skyeng.mailtracker.service,PostalItemService,47,105,6,2,10,23,5,6,1,6
mail-tracker,com.skyeng.mailtracker,MailTrackerApplication,5,3,0,0,2,1,1,1,1,1
mail-tracker,com.skyeng.mailtracker,ServletInitializer,0,12,0,0,0,2,0,2,0,2
mail-tracker,com.skyeng.mailtracker.controller,PostalItemTypeController,0,20,0,0,0,4,0,2,0,2
mail-tracker,com.skyeng.mailtracker.controller,EventController,0,35,0,0,0,6,0,3,0,3
mail-tracker,com.skyeng.mailtracker.controller,PostOfficeController,0,20,0,0,0,4,0,2,0,2
mail-tracker,com.skyeng.mailtracker.controller,EventTypeController,0,28,0,0,0,5,0,2,0,2
mail-tracker,com.skyeng.mailtracker.controller,PostalItemController,3,88,1,1,0,11,1,6,0,6
